Date	TestName	StateName	Phase	Step	ModelRule	ActualRule	ActualStatus	ModelSel	ModelAction	ModelInput	ActualSel	ActualAction	ActualInput
02.24.2014-11.42.33	6x+3_7x-2	"state 3"	test	"-x+3=-2"	subtract	N/A	N/A	dorminTable3_C1R2	UpdateTable	"subtract 3"	N/A	N/A	"N/A"
02.24.2014-11.42.33	6x+3_7x-2	"state 4"	test	"-x+3=-2 (subtract 3)"	subtract-typein	N/A	N/A	dorminTable1_C1R3	UpdateTable	"-x"	N/A	N/A	"N/A"
02.24.2014-11.42.33	6x+3_7x-2	"state 5"	test	"-x+3=-2 (subtract 3)"	subtract-typein	N/A	N/A	dorminTable2_C1R3	UpdateTable	"-5"	N/A	N/A	"N/A"
02.24.2014-11.42.33	6x+3_7x-2	"state 6"	test	"-x=-5"	divide	N/A	N/A	dorminTable3_C1R3	UpdateTable	"divide -1"	N/A	N/A	"N/A"
02.24.2014-11.42.34	6x+3_7x-2	"state 7"	test	"-x=-5 (divide -1)"	divide-typein	N/A	N/A	dorminTable1_C1R4	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.42.34	6x+3_7x-2	"state 8"	test	"-x=-5 (divide -1)"	divide-typein	N/A	N/A	dorminTable2_C1R4	UpdateTable	"5"	N/A	N/A	"N/A"
02.24.2014-11.42.34	6x+3_7x-2	"state 9"	test	"x=5"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.42.34	xI4_5	"xI4_5"	test	"xI4_5"	multiply	N/A	N/A	dorminTable3_C1R1	UpdateTable	"multiply 4"	N/A	N/A	"N/A"
02.24.2014-11.42.34	xI4_5	"state 1"	test	"xI4_5 (multiply 4)"	multiply-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.42.34	xI4_5	"state 2"	test	"xI4_5 (multiply 4)"	multiply-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"20"	N/A	N/A	"N/A"
02.24.2014-11.42.34	xI4_5	"state 3"	test	"x=20"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"-3x+5_2x+4"	test	"-3x+5_2x+4"	add	N/A	N/A	dorminTable3_C1R1	UpdateTable	"add 3x"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 1"	test	"-3x+5_2x+4 (add 3x)"	add-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"5"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 2"	test	"-3x+5_2x+4 (add 3x)"	add-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"5x+4"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 3"	test	"5=5x+4"	subtract	N/A	N/A	dorminTable3_C1R2	UpdateTable	"subtract 4"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 4"	test	"5=5x+4 (subtract 4)"	subtract-typein	N/A	N/A	dorminTable1_C1R3	UpdateTable	"1"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 5"	test	"5=5x+4 (subtract 4)"	subtract-typein	N/A	N/A	dorminTable2_C1R3	UpdateTable	"5x"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 6"	test	"1=5x"	divide	N/A	N/A	dorminTable3_C1R3	UpdateTable	"divide 5"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 7"	test	"1=5x (divide 5)"	divide-typein	N/A	N/A	dorminTable1_C1R4	UpdateTable	"1/5"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 8"	test	"1=5x (divide 5)"	divide-typein	N/A	N/A	dorminTable2_C1R4	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.42.34	-3x+5_2x+4	"state 9"	test	"1/5=x"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.42.34	6x+1_7x-5	"6x+1_7x-5"	test	"6x+1_7x-5"	subtract	N/A	N/A	dorminTable3_C1R1	UpdateTable	"subtract 7x"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 1"	test	"6x+1_7x-5 (subtract 7x)"	subtract-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"-x+1"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 2"	test	"6x+1_7x-5 (subtract 7x)"	subtract-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"-5"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 3"	test	"-x+1=-5"	subtract	N/A	N/A	dorminTable3_C1R2	UpdateTable	"subtract 1"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 4"	test	"-x+1=-5 (subtract 1)"	subtract-typein	N/A	N/A	dorminTable1_C1R3	UpdateTable	"-x"	N/A	N/A	"N/A"
02.24.2014-11.42.35	6x+1_7x-5	"state 5"	test	"-x+1=-5 (subtract 1)"	subtract-typein	N/A	N/A	dorminTable2_C1R3	UpdateTable	"-6"	N/A	N/A	"N/A"
